row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000132972,12.12601766,4.790012308,0.927406675,4.08667784,4.38E-05,0.00396061
ENSG00000211654,117.3892957,4.71208069,0.581236703,6.386521477,1.70E-10,3.57E-08
ENSG00000211658,251.2411487,4.711516528,0.473671519,7.835633717,4.66E-15,1.70E-12
ENSG00000206172,1568.196387,4.697442357,0.956247582,3.866616163,0.000110356,0.008942295
ENSG00000260048,2.332148859,4.680522991,0.865722155,4.251390551,2.12E-05,0.002067954
ENSG00000104892,12.69127115,4.674591196,0.803501834,4.573220668,4.80E-06,0.000536704
ENSG00000163710,4.294190976,4.672770868,0.902047332,4.071594404,4.67E-05,0.004117714
ENSG00000197476,4.541487635,4.584838565,0.868751351,4.126426464,3.68E-05,0.003414613
ENSG00000271178,8.744917903,4.580841807,0.727287185,4.923559609,8.50E-07,0.000106935
ENSG00000233999,3.138846424,4.570362953,0.798552797,4.471041822,7.78E-06,0.000830842
ENSG00000069535,49.86876148,4.56863408,0.617161718,5.782332213,7.37E-09,1.27E-06
ENSG00000115648,3.118776346,4.543690013,0.631515611,5.611405247,2.01E-08,3.20E-06
ENSG00000211669,1186.668614,4.495214284,0.524379211,6.665432591,2.64E-11,6.14E-09
ENSG00000211659,3221.568111,4.49251465,0.373966289,9.339116264,9.71E-21,7.52E-18
ENSG00000012223,10.68032907,4.479090622,0.700801465,4.964445417,6.89E-07,8.89E-05
ENSG00000253274,5.298877968,4.47365639,0.696328314,4.988532449,6.08E-07,7.94E-05
ENSG00000118113,8.161395546,4.424772692,0.686111822,4.991566361,5.99E-07,7.86E-05
ENSG00000223350,258.657721,4.320355766,0.346745262,9.575778342,1.01E-21,1.04E-18
ENSG00000211956,3124.801644,4.277759306,0.332737781,9.850878072,6.79E-23,8.41E-20
ENSG00000211897,7994.609465,4.2087916,0.450939844,7.115786383,1.11E-12,3.02E-10
ENSG00000241294,170.6960694,4.161251163,0.516774899,6.117269181,9.52E-10,1.83E-07
ENSG00000276566,243.4883228,4.158856502,0.810744753,3.896240449,9.77E-05,0.008000331
ENSG00000165966,2.395459568,4.158159671,0.846333705,3.731577333,0.000190285,0.014366021
ENSG00000017427,6.767107225,4.158115182,0.561838368,5.621038651,1.90E-08,3.06E-06
ENSG00000237419,4.355697628,4.142483981,0.843393642,3.725999134,0.000194543,0.014608251
ENSG00000224177,2.651400779,4.118913883,0.868381784,3.591639003,0.000328605,0.02270454
ENSG00000211640,1516.215387,4.093057642,0.436503131,7.085991876,1.38E-12,3.72E-10
ENSG00000273703,2.251968374,4.079425374,0.628777367,4.897481264,9.71E-07,0.000119934
ENSG00000168078,31.48965256,4.078020633,0.29599581,10.39886554,2.51E-25,4.57E-22
